Date,StoreID,StoreRegion,Product,Category,UnitsSold,UnitPrice,Revenue,CustomerAge,Gender
2024-10-07,STR008,South,Smartphone,Electronics,4,37103.37,148413.48,65,Male
2025-06-10,STR003,South,Tablet,Electronics,1,21153.9,21153.9,32,Other
2024-07-29,STR014,South,Tablet,Electronics,9,10022.0,90198.0,46,Other
2025-05-06,STR014,East,Jeans,Clothing,3,37964.49,113893.47,35,Male
2025-03-24,STR004,East,Washing Machine,Home Appliances,7,5200.29,36402.03,40,Other
2024-11-16,STR004,West,Jeans,Clothing,9,36513.62,328622.58,23,Other
2024-07-13,STR019,South,Jacket,Clothing,6,30964.14,185784.84,63,Male
2024-10-25,STR003,South,Tablet,Electronics,5,11472.12,57360.6,24,Female
2024-10-24,STR006,East,T-Shirt,Clothing,6,31820.65,190923.9,40,Male
2024-07-14,STR020,South,Jacket,Clothing,2,46839.06,93678.12,52,Other
2024-08-21,STR018,South,Refrigerator,Home Appliances,5,23166.78,115833.9,61,Female
2024-12-22,STR013,East,Smartphone,Electronics,6,41107.95,246647.7,22,Male
2024-07-11,STR015,South,Jeans,Clothing,7,32806.39,229644.73,34,Male
2025-03-23,STR019,West,Microwave,Home Appliances,5,28112.27,140561.35,55,Female
2025-04-30,STR017,West,Jeans,Clothing,3,49866.56,149599.68,23,Male
2025-06-07,STR020,North,Smartphone,Electronics,7,31409.56,219866.92,42,Female
2024-11-02,STR001,North,Sugar,Groceries,9,12645.56,113810.04,61,Other
2024-10-02,STR014,South,Jacket,Clothing,5,17074.76,85373.8,47,Male
2024-12-21,STR004,East,Jacket,Clothing,9,38121.91,343097.19,58,Other
2024-07-11,STR018,North,Refrigerator,Home Appliances,3,18758.3,56274.9,56,Female
2024-09-22,STR010,South,Rice,Groceries,6,5682.2,34093.2,21,Male
2024-08-02,STR018,South,Smartphone,Electronics,2,36622.19,73244.38,26,Other
2024-11-05,STR020,West,Sugar,Groceries,9,8339.84,75058.56,31,Other
2025-03-03,STR015,West,Microwave,Home Appliances,6,15654.64,93927.84,25,Male
2024-12-07,STR018,South,Refrigerator,Home Appliances,10,16970.47,169704.7,55,Male
2024-09-16,STR008,North,Smartphone,Electronics,1,35421.26,35421.26,20,Female
2024-09-29,STR007,South,Tablet,Electronics,8,11976.43,95811.44,64,Other
2024-08-19,STR007,North,Rice,Groceries,7,39252.51,274767.57,24,Other
2025-04-09,STR002,North,Wheat,Groceries,8,21236.57,169892.56,21,Female
2024-11-19,STR018,West,Jeans,Clothing,4,12507.95,50031.8,26,Female
2025-01-10,STR015,North,Washing Machine,Home Appliances,2,23185.14,46370.28,21,Other
2025-06-18,STR006,West,Smartphone,Electronics,4,46325.71,185302.84,49,Female
2024-11-12,STR013,North,Washing Machine,Home Appliances,3,45131.9,135395.7,42,Female
2024-09-04,STR016,South,Wheat,Groceries,9,21208.07,190872.63,30,Female
2024-08-21,STR002,East,Refrigerator,Home Appliances,9,29001.1,261009.9,21,Male
2024-08-23,STR006,North,Sugar,Groceries,9,45977.42,413796.78,50,Male
2024-10-30,STR013,North,Refrigerator,Home Appliances,4,29792.25,119169.0,54,Male
2024-11-14,STR019,East,Tablet,Electronics,10,4190.97,41909.7,34,Male
2025-05-27,STR010,West,Jeans,Clothing,3,13354.16,40062.48,38,Male
2024-07-20,STR004,North,Laptop,Electronics,10,31095.85,310958.5,52,Male
2024-12-02,STR008,East,Jeans,Clothing,2,46669.64,93339.28,36,Male
2025-03-11,STR017,North,Sugar,Groceries,10,35206.64,352066.4,60,Other
2024-11-04,STR009,North,Jacket,Clothing,3,5268.97,15806.91,24,Other
